,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
115,4202,23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,20002.50679415973
116,2239,33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,20002.51970556299
117,18841,23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,20002.505003861723
118,14875,31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,20002.517393110273
119,1412,39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,20002.518805795335
120,37585,20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,20002.49822201401
121,20496,37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,20002.519663818384
122,6612,,,Stormy,Low,2,Snack,scooter,1.0,No,,14,20002.498495899927
123,36147,31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,20002.508012619965
124,5679,22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.511139548915
125,3560,30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.505562981485
126,6186,38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.49100521461
127,20082,34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,20002.496957495794
128,5878,34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,20002.511634543007
129,14518,28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.508327648946
130,4097,27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,20002.51592672132
131,25308,,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,20002.517566373615
132,36285,22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,20002.504715476327
133,26073,31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.508929914886
134,25577,35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,20002.520231456303
135,43567,30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,20002.52024125662
136,6871,35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,20002.515687203424
137,21350,35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,20002.508330750465
138,8231,24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,20002.51362313871
139,12969,36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,20002.508823713073
140,3635,27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,20002.511096619066
141,3096,39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,20002.498016928905
142,24580,22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,20002.511096224676
143,12617,39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,20002.505954827127
144,29712,29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,20002.508012619965
145,39750,39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,20002.518711838384
146,26814,34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,20002.52024016378
147,40013,36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,20002.52024408644
148,8450,35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,20002.51877245317
149,32266,27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,20002.518841257828
150,33278,29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,20002.49929771976
151,6914,,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,20002.48847779029
152,39416,30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,20002.491018193283
153,21502,23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,20002.520246727
154,45394,23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.51748927508
155,14447,32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.518758488564
156,4342,26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.51966376396
157,4998,25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,20002.50511398832
158,20649,36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,20002.520235849996
159,6898,23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,20002.48847701304
160,24184,24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,20002.520251332055
161,10065,26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,20002.51116283262
162,35279,36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.48912840443
163,24015,31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,20002.51566567517
164,21245,37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,20002.51396564336
165,26135,38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,20002.505892183868
166,43882,26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.51592707548
167,32614,20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,20002.51568708667
168,36548,26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,18517.826113387982
169,20166,35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,20002.519694481838
170,7722,34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,20002.517378842178
171,19293,22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20002.517461440242
172,1357,25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,20002.513947610292
173,21998,36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,20002.518767997975
174,2525,34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,20002.511164577067
175,13282,37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,20002.498230793626
176,9027,26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,20002.519667286317
177,35870,28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,20002.515700895357
178,30633,25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,20002.51971017921
179,39357,32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,20002.49879122344
180,18392,26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.508677536538
181,16993,37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,20002.48913037868
182,25285,31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,20002.51607423629
183,35185,27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,20002.511139305843
184,44949,39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.5156992511
185,21046,28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,20002.518679857174
186,37365,28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.508825954254
187,43043,26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.51360252181
188,28095,39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,20002.52023638387
189,8133,26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,20002.515687723964
190,5306,30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,20002.508642124503
191,2577,33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,20002.498656415075
192,41623,27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,20002.4909192421
193,44466,37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,20002.52024200717
194,7978,27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,20002.519669223744
195,20794,39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,20002.490110951214
196,5421,28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,20002.519705555784
197,14883,34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,20002.50511170596
198,8982,31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,20002.51969119511
199,30634,38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,20002.516216779804
200,7409,34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520241295624
201,12507,,,,,3,Snack,electric_scooter,2.0,No,Urban,40,20002.511350864854
202,251,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,20002.515700815708
203,35570,37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.50857172745
204,12083,28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,20002.498716283688
205,36010,37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,20002.49822201401
206,4819,37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,20002.504715476327
207,34442,37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,20002.520245710653
208,19652,22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,20002.519729128406
209,20966,39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.518805795335
210,26389,26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,20002.498712275483
211,20417,35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,20002.511162600742
212,40484,30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.51872393641
213,35120,27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,20002.51881066557
214,8860,30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,20002.49881193758
215,26354,30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,20002.517462183678
216,32645,23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,20002.51967755898
217,29368,32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.51566567517
218,31751,31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520245440584
219,45051,32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,20002.4906873956
220,542,20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,20002.519649606602
221,3852,24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,20002.51568727283
222,12033,37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,20002.52024593533
223,6002,27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,20002.4882542533
224,5198,20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,20002.515937008084
225,27565,36.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,20002.505567253073
226,39492,24.0,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,20002.518816940006
227,8354,28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,20002.506329892203
228,24393,32.0,4.7,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,20002.5202358757
229,39817,33.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520236352706
230,25334,21.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,44,20002.50928774814
231,12423,38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,20002.488489077794
232,20819,28.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,26,20002.518809474357
233,42962,36.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,20002.50824105798
234,26078,26.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.515794989933
235,45573,30.0,4.6,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,20002.519688956894
236,39774,23.0,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,20002.505884953105
237,39751,38.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,20002.51881027695
238,6326,33.0,4.7,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,17,20002.51396659474
239,13413,28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,22,20002.517551310746
240,2917,28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,20002.51970757767
241,2229,22.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,20002.497390636054
242,22807,27.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.51970014993
243,16158,20.0,4.4,Fog,Jam,1,Meal,scooter,2.0,No,,32,20002.505956406276
244,7963,25.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.51969163167
245,26827,21.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.513947514624
246,31905,29.0,5.0,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,20002.490022374204
247,20458,34.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,42,20002.498150534695
248,39060,22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.49913310416
